,title,description,date,price,img,path
80,"UISDOZ46RT WATER purifier RO LED WATER tank ac,tv and  dth.  FREE PR","UISDOZ46RT WATER purifier RO LED WATER tank ac,tv and  dth.  FREE PRE FILTER, FREE DELIVERY AT YOUR HOME  ONE YEAR BRAND WARRANTY. FREE 5 SERVICES. FREE FITTING.   AT YOUR DOORSTEP. CASH ON DELIVERY.  special offer  BOOK now. order this water purifier now.",2021-09-18T07:37:15+0000,"₹ 3,499",https://apollo-singapore.akamaized.net:443/v1/files/090ko5vjj96l1-IN/image,images/80.png
81,"QPROI34JK WATER purifier RO LED WATER tank ac,tv and  dth.  FREE PRE","QPROI34JK WATER purifier RO LED WATER tank ac,tv and  dth.  FREE PRE FILTER, FREE DELIVERY AT YOUR HOME  ONE YEAR BRAND WARRANTY. FREE 5 SERVICES. FREE FITTING.   AT YOUR DOORSTEP. CASH ON DELIVERY.  special offer  BOOK now. order this water purifier now.",2021-09-18T07:36:29+0000,"₹ 4,399",https://apollo-singapore.akamaized.net:443/v1/files/7rv9xgbxlu2d3-IN/image,images/81.png
82,Celfrost 450ltr Fridge,New Fridge 10 months old with bill gurantee,2021-09-18T06:08:41+0000,"₹ 20,000",https://apollo-singapore.akamaized.net:443/v1/files/ra6ty7clsi5q3-IN/image,images/82.png
83,LG refrigerator,LG 175 litre red colour refrigerator. Only for cash payment,2021-09-18T04:55:40+0000,"₹ 5,000",https://apollo-singapore.akamaized.net:443/v1/files/3u4xur21zur62-IN/image,images/83.png
84,galaxy on max +earphones  free+gogii watch,"one years old with bill & charger  4 GB RAM | 32 GB ROM | Expandable Upto 256 GB 14.48 cm (5.7 inch) Full HD Display 13MP Rear Camera | 13MP Front Camera 3300 mAh Battery MediaTek MTK6757V/WL 2.39GHz, 1.69GHz, Octa Core Processor",2021-09-18T04:53:15+0000,"₹ 4,800",https://apollo-singapore.akamaized.net:443/v1/files/zuw1c3r171yc1-IN/image,images/84.png
85,Pizza Petiz Samosa Warmer Oven Deep fryer Griller restaurant Equipment,"Make and deal all type of restaurant kitchen equipments items,  Only new",2021-09-18T04:42:02+0000,"₹ 6,990",https://apollo-singapore.akamaized.net:443/v1/files/93ecehguzo9j2-IN/image,images/85.png
86,Water Bottles,Aquafina water bottles 12 piece pack,2021-09-18T02:16:02+0000,₹ 120,https://apollo-singapore.akamaized.net:443/v1/files/i5a7u0rks07o2-IN/image,images/86.png
87,Gud condition,Need to money,2021-09-17T19:00:04+0000,"₹ 18,000",https://apollo-singapore.akamaized.net:443/v1/files/8j01m76yd1gj-IN/image,images/87.png
88,Shipping free,Ladies garments,2021-09-17T17:05:33+0000,₹ 500,https://apollo-singapore.akamaized.net:443/v1/files/u5w244rbzdp9-IN/image,images/88.png
89,goodrej fridge,only deal in cash,2021-09-17T16:41:27+0000,"₹ 7,000",https://apollo-singapore.akamaized.net:443/v1/files/wj5t86zbe29u2-IN/image,images/89.png
90,Ac .75 ton coper cwell,6500 attractive rate,2021-09-17T16:26:33+0000,"₹ 6,500",https://apollo-singapore.akamaized.net:443/v1/files/qlq8nwuif4fu-IN/image,images/90.png
91,Whirlpool fridge 310 liter single door working ok,West working for  10 years,2021-09-17T14:38:59+0000,"₹ 4,500",https://apollo-singapore.akamaized.net:443/v1/files/ve9gmqxccxnu1-IN/image,images/91.png
92,Whirpool fridge 250 ltr,Whirlpool fridge in good condition,2021-09-17T14:14:00+0000,"₹ 6,000",https://apollo-singapore.akamaized.net:443/v1/files/vick6xsn2v0b1-IN/image,images/92.png
93,I want sell my 7 kg watt stabilizer heavy Cooper me hai urgent,Not in use,2021-09-17T13:07:36+0000,"₹ 7,500",https://apollo-singapore.akamaized.net:443/v1/files/kg9b55paa0jg1-IN/image,images/93.png
