,PRODUCT NAME,PRODUCT PRICE,PRODUCT RATING,URL,brand,star,capacity,doubledoor
110,amazonbasics 564 l side-by-side door refrigerator (silver steel finish),48999,4.2,https://m.media-amazon.com/images/I/71DuofqGR8L._AC_UY218_.jpg,amazonbasics,,564.0,0
111,"samsung 580 l inverter frost-free french door refrigerator (rf57a5032s9/tl, refined inox, convertible)",74990,,https://m.media-amazon.com/images/I/61uVsGgl1ES._AC_UY218_.jpg,samsung,,580.0,0
112,"godrej 195 l 4 star inverter direct-cool single door refrigerator (rd uno 1954 ptdi jw wn, jewel wine, base stand with drawer, cool lock technology)",15990,3.9,https://m.media-amazon.com/images/I/61uDmtoLQ1S._AC_UY218_.jpg,godrej,4.0,195.0,0
113,whirlpool 190 l 3 star direct cool single door refrigerator (wde 205 cls plus 3s wine radiance),13990,,https://m.media-amazon.com/images/I/51soBqvCGvL._AC_UY218_.jpg,whirlpool,3.0,190.0,0
114,"lg 335 l 3 star inverter frost-free double door refrigerator (gl-t372jds3, dazzle steel, convertible)",37480,,https://m.media-amazon.com/images/I/51-oYe8nKDL._AC_UY218_.jpg,lg,3.0,335.0,1
115,"samsung 192 l 2 star direct cool single door refrigerator (rr19a2y2b6u/nl, mystic overlay blue)",14190,,https://m.media-amazon.com/images/I/81udcgxrP3L._AC_UY218_.jpg,samsung,2.0,192.0,0
116,"godrej 195 l 3 star direct-cool single door refrigerator (rd uno 1953 ptdf aq bl, aqua blue, cool lock technology)",15790,4.1,https://m.media-amazon.com/images/I/611WB1qiGwS._AC_UY218_.jpg,godrej,3.0,195.0,0
117,"lg 260 l 2 star smart inverter frost-free double door refrigerator (gl-s292rdsy, dazzle steel, convertible)",21230,4.1,https://m.media-amazon.com/images/I/51XfUywFkDL._AC_UY218_.jpg,lg,2.0,260.0,1
118,"whirlpool 240 l frost-free multi-door refrigerator (fp 263d protton roy, steel onyx)",25970,,https://m.media-amazon.com/images/I/61dhssecAtL._AC_UY218_.jpg,whirlpool,,240.0,0
119,"samsung 255 l 3 star inverter direct cool single door refrigerator(rr26t389yut/hl, pebble blue, base stand with drawer)",20390,4.2,https://m.media-amazon.com/images/I/71MgoYxgs1L._AC_UY218_.jpg,samsung,3.0,255.0,0
120,"godrej 236 l 2 star inverter frost-free double door refrigerator with jumbo vegetable tray (rf eon 236b 25 hi si st, stainless steel)",19280,4.0,https://m.media-amazon.com/images/I/61AAVzzYh5L._AC_UY218_.jpg,godrej,2.0,236.0,1
121,"gem 100 l 1 star direct-cool single door refrigerator (grdn-120hswp, grey)",9903,4.0,https://m.media-amazon.com/images/I/41GiCZf08lL._AC_UY218_.jpg,gem,1.0,100.0,0
122,"whirlpool 265 l 2 star frost-free double door refrigerator (neofresh df 278 prm 2s, german steel)",23240,4.2,https://m.media-amazon.com/images/I/71AcTY4TloL._AC_UY218_.jpg,whirlpool,2.0,265.0,1
123,"whirlpool 200 l 4 star inverter direct-cool single door refrigerator (215 icemagic pro prm 4s inv, alpha steel) (72133)",16240,,https://m.media-amazon.com/images/I/719i08lbYxL._AC_UY218_.jpg,whirlpool,4.0,200.0,0
124,"whirlpool 200 l 3 star direct-cool single door refrigerator (215 icemagic pro prm 3s, purple mulia)",15690,4.1,https://m.media-amazon.com/images/I/71XSf-8sixL._AC_UY218_.jpg,whirlpool,3.0,200.0,0
125,"croma 90 l 1 star direct cool single door refrigerator (crar0219, grey)",10990,4.0,https://m.media-amazon.com/images/I/31PpafMqNEL._AC_UY218_.jpg,croma,1.0,90.0,0
