,PRODUCT NAME,PRODUCT PRICE,PRODUCT RATING,URL,brand,processor,ssd,hdd,ram,graphic_card
307,"lenovo ideapad slim 3 10th gen intel core i3 14"" (35.56cm) fhd thin & light laptop (8gb/256gb ssd/windows 10/ms office/intel uhd graphics/2 year warranty/platinum grey/1.5kg), 81wa00glin",43490,3.8,https://m.media-amazon.com/images/I/61-dyO1To1L._AC_UY218_.jpg,Lenovo,intel i3,256.0,0.0,8,intel integrated
308,dell inspiron 3501 15 inch (38.1 cm) fhd display laptop (i3-1005g1 / 8gb / 256gb ssd / integrated graphics / win 10 + mso / accent black) d560396win9be,43575,4.2,https://m.media-amazon.com/images/I/51jPUwqQTFL._AC_UY218_.jpg,Dell,intel i3,256.0,0.0,8,intel integrated
309,"dell 14 (2021) i3-1125g4 2in1 touch screen laptop, 8gb ram, 256gb ssd, 14” (35.56 cms) fhd display, win 10 + mso, backlit kb + fpr, silver color (inspiron 5410, d560563win9s)",54700,3.8,https://m.media-amazon.com/images/I/71hFNVZKcoS._AC_UY218_.jpg,Dell,intel i3,256.0,0.0,8,
310,"fujitsu uh-x 11th gen intel core i5 13.3” (33.78cm) fhd ips 400nits thin and light laptop (8gb/512gb ssd/win10/office/iris xe graphics/backlit kb/ fingerprint reader/black/878gms), 4zr1d67595",74990,3.9,https://m.media-amazon.com/images/I/91MVVK14sEL._AC_UY218_.jpg,Fujitsu,intel i5,512.0,0.0,8,iris xe
311,"hp 15 11th gen intel core i5 processor 15.6 inches fhd gaming laptop with alexa built-in, 8gb/512gb ssd/windows 10/2gb mx350 graphics (natural silver/1.75kg), 15s-dr3500tx",64990,4.2,https://m.media-amazon.com/images/I/81pG0gZywML._AC_UY218_.jpg,HP,intel i5,512.0,0.0,8,mx350
312,"asus vivobook 15 core i3 10th gen - (4 gb/1 tb hdd/windows 10 home) x515ja-br381t thin and light laptop (15.6 inch, slate grey, 1.80 kg)",34990, ,https://m.media-amazon.com/images/I/41E65wGENHS._AC_UY218_.jpg,ASUS,intel i3,0.0,1024.0,4,intel integrated
313,(renewed) hp intel 4th gen core i5 12.5-inch (31.75 cms) 1366 x 768 laptop (8gb ram/500gb hdd/windows 10 pro/ms office/ intel hd integrated graphics/ black/1.54kg) elitebook 820 g1,33999, ,https://m.media-amazon.com/images/I/61fKgzZRuVL._AC_UY218_.jpg,(Renewed),intel i5,0.0,500.0,8,intel integrated
314,"(renewed) lenovo thinkpad hybrid laptop t450s (slim) intel core i7 - 5600u processor, 8 gb ram, 2tb harddisk & 128 gb ssd, windows 10 pro, 14.1 inches notebook computer",43890, ,https://m.media-amazon.com/images/I/6172BVoWyHL._AC_UY218_.jpg,(Renewed),intel i7,128.0,0.0,8,intel integrated
315,"(renewed) lenovo thinkpad hybrid laptop t450s (slim) intel core i7 - 5600u processor, 4 gb ram, 2tb harddisk & 128 gb ssd, windows 10 pro, 14.1 inches notebook computer",41390, ,https://m.media-amazon.com/images/I/6172BVoWyHL._AC_UY218_.jpg,(Renewed),intel i7,128.0,0.0,4,intel integrated
316,"acer aspire 3 intel core i3-10th gen 15.6 - inch (39.62 cms) 1920 x 1080 thin and light laptop (4gb ram/1tb hdd/window 10/integrated graphics/shale black/1.9 kgs), a315-56",32999, ,https://m.media-amazon.com/images/I/81YUWJOwMDL._AC_UY218_.jpg,Acer,intel i3,0.0,1024.0,4,intel integrated
317,"lenovo ideapad slim 3 intel celeron n4020 15.6"" (39.62cms) hd thin and light laptop (4gb/256gb ssd/windows 10/platinum grey/1.7kg), 81wq003lin",36699,4.1,https://m.media-amazon.com/images/I/61Dw5Z8LzJL._AC_UY218_.jpg,Lenovo,intel celeron,256.0,0.0,4,intel integrated
318,"(renewed) lenovo thinkpad hybrid laptop t450s (slim) intel core i7 - 5600u processor, 12 gb ram, 2tb harddisk & 256 gb ssd, windows 10 pro, 14.1 inches notebook computer",47290, ,https://m.media-amazon.com/images/I/6172BVoWyHL._AC_UY218_.jpg,(Renewed),intel i7,256.0,0.0,12,intel integrated
319,dell inspiron 7415 14 inch (35.5 cm) fhd touch display 2in1 laptop (r7 5700u / 16gb / 512gb ssd / integrated graphics / win 10 + mso / backlit kb + fpr + active pen) d560472win9p,87593, ,https://m.media-amazon.com/images/I/514FlU4YKBS._AC_UY218_.jpg,Dell,others,512.0,0.0,16,intel integrated
320,"dell 14 (2021) i3-1125g4 2in1 touch screen laptop, 8gb ram, 512gb ssd, 14” (35.56 cms) fhd display, win 10 + mso, backlit kb + fpr + active pen, silver metal color (inspiron 5410, d560531win9s)",59790,3.9,https://m.media-amazon.com/images/I/618nCW+Qk+S._AC_UY218_.jpg,Dell,intel i3,512.0,0.0,8,
321,dell inspiron 7415 14 inch fhd touch display 2in1 laptop (r5 5500u / 8gb / 512gb ssd / integrated graphics / win 10 + mso / backlit kb + fpr + active pen /pebble metal color) d560470win9p,69990,4.1,https://m.media-amazon.com/images/I/514FlU4YKBS._AC_UY218_.jpg,Dell,others,512.0,0.0,8,intel integrated
322,"dell 14 (2021) thin & light i3-1005g1 laptop, 4gb ram, 1tb hdd + 256gb ssd, 14” (35.56 cms) fhd ag display, win 10 + mso, black (vostro 3401, d552151win9be)",41586,4.2,https://m.media-amazon.com/images/I/8147cwFm2PL._AC_UY218_.jpg,Dell,intel i3,256.0,1024.0,4,intel integrated
323,"(renewed) asus vivobook s s15 (2021), 15.6-inch (39.62 cms) fhd intel core i7-1165g7 11th gen, thin and light laptop (8gb/512gb ssd/office 2019/windows 10/2gb nvidia mx350 graphics/silver/1.8 kg) s532eq-bq702ts",71987, ,https://m.media-amazon.com/images/I/71Io5JXgJ8L._AC_UY218_.jpg,(Renewed),intel i7,512.0,0.0,8,mx350
324,"lenovo yoga 7 11th gen intel core i7 14"" full hd ips 2-in-1 touchscreen laptop (16gb/512gb ssd/windows 10/ms office 2019/lenovo digital pen/slate grey/aluminium surface/1.43kg), 82bh00e0in",97990, ,https://m.media-amazon.com/images/I/71Q5Wo8yyOL._AC_UY218_.jpg,Lenovo,intel i7,512.0,0.0,16,intel integrated
