Title,Rating,Price,link,Specifications
MarQ By Flipkart 1.5 Ton 5 Star Window AC  - White,4.2,"Rs. 25,490",https://rukminim1.flixcart.com/image/312/312/k9re3rk0/air-conditioner-new/v/j/c/fkac155sfwaca-1-5-window-fixed-speed-marq-by-flipkart-original-imafrhckfugfeqjc.jpeg?q=70,Condenser Coil: Copper
,,,,Power Consumption: 1520 W
,,,,Noise level: 60 dB
,,,,Wi-Fi Enabled: No
,,,,1 Year on Product and 5 Years on Compressor
,,
ONIDA 2 Ton 3 Star Split Dual Inverter AC  - White,4.3,"Rs. 38,490",https://rukminim1.flixcart.com/image/312/312/k55n0y80/air-conditioner-new/t/x/z/ir185rho-1-5-split-dual-inverter-onida-original-imafnphfauxd5j8e.jpeg?q=70,Condenser Coil: Copper
,,,,Power Consumption: 2180 W
,,,,Noise level: 47 dB
,,,,Refrigerant: R32
,,,,Ambient Temperature: 58 degree C
,,,,Wi-Fi Enabled: No
,,,,1 Year on Product and 5 Year on Compressor from Onida
,,
LG 1.5 Ton 5 Star Split Dual Inverter AC  - White,4.5,"Rs. 40,990",https://rukminim1.flixcart.com/image/312/312/kk76wsw0/air-conditioner-new/e/8/5/ms-q18tnza-split-dual-inverter-lg-original-imafzhnz8gxqzhgd.jpeg?q=70,Condenser Coil: Copper
,,,,Power Consumption: 818.81 kWh
,,,,Noise level: 31 dB
,,,,Refrigerant: R32
,,,,Wi-Fi Enabled: No
,,,,"1 Year on Product, 5 Years on PCB and 10 Years on Compressor with Gas Charging from LG"
,,
Panasonic 1.5 Ton 5 Star Split Inverter Smart AC with PM 2.5 Filter with Wi-fi Connect  - White,4.3,"Rs. 40,990",https://rukminim1.flixcart.com/image/312/312/knhsgi80/air-conditioner-new/b/a/x/ku18wkyt-cs-cu-su18wkyw-split-panasonic-inverter-original-imag26fwjt73b4zh.jpeg?q=70,Condenser Coil: Copper
,,,,Power Consumption: 840.75 W
,,,,Noise level: 43 dB
,,,,Refrigerant: R-32
,,,,Ambient Temperature: 52 degree C
,,,,Wi-Fi Enabled: Yes
,,,,"1 Year Product Warranty, 10 Years Compressor Warranty, 5 Years PCB  Warranty"
,,
"SAMSUNG 1.5 Ton 3 Star Split Inverter AC  - White, Blue",4.2,"Rs. 32,990",https://rukminim1.flixcart.com/image/312/312/kg40k280/air-conditioner-new/n/z/y/ar18ty3qbbu-sps-1-5-split-samsung-inverter-original-imafwefyhzztgtzg.jpeg?q=70,Condenser Coil: Copper
,,,,Power Consumption: 1748 W
,,,,Noise level: 52 dB
,,,,Wi-Fi Enabled: No
,,,,1 Year comprehensive and 10 years on Compressor
,,
Title,Rating,Price,link,Specifications
LG 1.5 Ton 5 Star Split Dual Inverter AC  - White,4.5,"Rs. 43,990",https://rukminim1.flixcart.com/image/312/312/kkbh8cw0/air-conditioner-new/p/t/1/ms-q18wnza-split-dual-inverter-lg-original-imafzzvgmqkhrv5w.jpeg?q=70,Condenser Coil: Copper
,,,,Power Consumption: 818.81 kWh
,,,,Noise level: 31 dB
,,,,Refrigerant: R32
,,,,Wi-Fi Enabled: No
,,,,"1 Year on Product, 1 Year on Condenser and 10 Years on Compressor from LG"
,,
Panasonic 1.5 Ton 3 Star Split Inverter AC with Wi-fi Connect  - White,4.7,"Rs. 33,990",https://rukminim1.flixcart.com/image/312/312/kn0n6a80/air-conditioner-new/u/m/t/cs-ku18wky-1-split-panasonic-inverter-original-imagfsrvjpamu4jk.jpeg?q=70,Condenser Coil: Copper
,,,,Power Consumption: 1670 W
,,,,Noise level: 42 dB
,,,,Refrigerant: R-32
,,,,Wi-Fi Enabled: Yes
,,,,1 Year on Product 5 Years on Compressor Manufacturer Warranty from Panasonic
,,
"SAMSUNG 1 Ton 3 Star Split Inverter AC  - White, Blue1",4.2,"Rs. 28,990",https://rukminim1.flixcart.com/image/312/312/kt7jv680/air-conditioner-new/e/m/u/ar12ty3qbbunna-ar12ty3qbbuxna-split-inverter-samsung-original-imag6hwykd3qrmtc.jpeg?q=70,Condenser Coil: Copper
,,,,Power Consumption: 1150 W
,,,,Noise level: 54 dB
,,,,Wi-Fi Enabled: No
,,,,1 Year comprehensive and 10 years on Compressor
,,
SAMSUNG 1 Ton 4 Star Split Inverter AC  - White,4.2,"Rs. 29,490",https://rukminim1.flixcart.com/image/312/312/kl8ccy80/air-conditioner-new/v/r/x/ar12aymzabe-split-samsung-inverter-original-imagye8cxeeuevz3.jpeg?q=70,Condenser Coil: Copper
,,,,Power Consumption: 634.66 W
,,,,Noise level: 44 db
,,,,Wi-Fi Enabled: No
,,,,"1 Year Comprehensive Warranty on Product, 1 Years on PCB, 1 Years on Condenser, 1 Years Free Gas Recharge and 10 Years on Compressor"
,,
Voltas 1.5 Ton 3 Star Split AC  - White,4.2,"Rs. 31,430",https://rukminim1.flixcart.com/image/312/312/jxm5d3k0/air-conditioner-new/q/3/c/183-dzz-r-32-1-5-split-fixed-speed-voltas-original-imafgf6nndarub2k.jpeg?q=70,Condenser Coil: Copper
,,,,Power Consumption: 1450 W
,,,,Noise level: 47 dB
,,,,Refrigerant: R-32
,,,,Wi-Fi Enabled: No
,,,,1 Year on Product and 5 Years on Compressor
,,
LG 1.5 Ton 3 Star Hot and Cold Split Dual Inverter AC  - White,4.3,"Rs. 45,790",https://rukminim1.flixcart.com/image/312/312/k0bbb0w0/air-conditioner-new/5/5/p/ls-h18vnxd-1-5-split-dual-inverter-lg-original-imafk57gp86j9m6v.jpeg?q=70,Condenser Coil: Copper
,,,,Power Consumption: 1780 W
,,,,Noise level: 31 dB
,,,,Ambient Temperature: 52 degree C
,,,,Wi-Fi Enabled: No
