Title,Rating,Price,Link,Specifications
Vu Premium 108 cm (43 inch) Full HD LED Smart Android TV,4.3,"Rs. 26,999",https://rukminim1.flixcart.com/image/312/312/k7xnukw0/television/g/u/q/vu-43us-43us-original-imafq2fhnucmhcpg.jpeg?q=70,Netflix|Prime Video|Disney+Hotstar|Youtube
,,,,Operating System: Android
,,,,Full HD 1920 x 1080 Pixels
,,,,24 W Speaker Output
,,,,60 Hz Refresh Rate
,,,,2 x HDMI | 2 x USB
,,,,A+ Grade High Bright Full HD Panel
,,,,1 Year Vu Domestic Warranty
,,
SONY Bravia X7002G 108 cm (43 inch) Ultra HD (4K) LED Smart TV,4.5,"Rs. 44,999",https://rukminim1.flixcart.com/image/312/312/kbqu4cw0/television/b/h/t/sony-kd-43x7002g-kd-43x7002g-original-imaftyujugrkzct2.jpeg?q=70,Netflix|Prime Video|Youtube
,,,,Operating System: Linux based
,,,,Ultra HD (4K) 3840 x 2160 Pixels
,,,,20 W Speaker Output
,,,,50 Hz Refresh Rate
,,,,3 x HDMI | 3 x USB
,,,,LED
,,,,1 Year Manufacturer Warranty
,,
iFFALCON by TCL 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV,4.3,"Rs. 28,999",https://rukminim1.flixcart.com/image/312/312/kgmla4w0/television/q/k/g/iffalcon-55k61-55k61-original-imafwtehtv9gn4qk.jpeg?q=70,Netflix|Disney+Hotstar|Youtube
,,,,Operating System: Android
,,,,Ultra HD (4K) 3840 x 2160 Pixels
,,,,24 W Speaker Output
,,,,60 Hz Refresh Rate
,,,,2 x HDMI | 1 x USB
,,,,A+ Grade UHD 10-bit DLED Panel
,,,,1 Year Warranty on Product
,,
TCL P615 126 cm (50 inch) Ultra HD (4K) LED Smart TV with Dolby Audio,4.2,"Rs. 33,999",https://rukminim1.flixcart.com/image/312/312/kmuxevk0/television/r/z/d/50p615-tcl-original-imagfz6wb88de7te.jpeg?q=70,Ultra HD (4K) 3840x2160 Pixels
,,,,24W Speaker Output
,,,,60 Hz Refresh Rate
,,,,3 x HDMI | 1 x USB
,,,,1 Year
,,
iFFALCON by TCL 126 cm (50 inch) Ultra HD (4K) LED Smart Android TV,4.3,"Rs. 33,999",https://rukminim1.flixcart.com/image/312/312/kgmla4w0/television/q/k/g/iffalcon-55k61-55k61-original-imafwtehtv9gn4qk.jpeg?q=70,Netflix|Disney+Hotstar|Youtube
,,,,Operating System: Android
,,,,Ultra HD (4K) 3840 x 2160 Pixels
,,,,24 W Speaker Output
,,,,60 Hz Refresh Rate
,,,,3 x HDMI | 1 x USB
,,,,A+ Grade UHD 10-bit DLED Panel
,,,,1 Year Warranty on Product
,,
realme 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Handsfree Voice Search and Dolby Visio...,4.2,"Rs. 30,999",https://rukminim1.flixcart.com/image/312/312/kosxzm80/television/a/7/8/rmv2004-realme-original-imag36hwea8zmnvy.jpeg?q=70,Netflix|Prime Video|Disney+Hotstar|Youtube
,,,,Operating System: Android
,,,,Ultra HD (4K) 3840 x 2160 Pixels
,,,,24 W Speaker Output
,,,,60 Hz Refresh Rate
,,,,3 x HDMI | 2 x USB
,,,,1 Year Warranty On TV and 2 Years Warranty On The Display Panel
