,Title,Rating,Price,link,Company,Condensor Coil,Wi-Fi,Noise_Level,Power_Consumption,TON_value,split
48,LG 1.5 Ton 5 Star Split Dual Inverter AC  - White,4.5,43990.0,https://rukminim1.flixcart.com/image/312/312/kkbh8cw0/air-conditioner-new/p/t/1/ms-q18wnza-split-dual-inverter-lg-original-imafzzvgmqkhrv5w.jpeg?q=70,LG, Copper, No,31.0,818.0,1.0,1
49,Panasonic 1.5 Ton 3 Star Split Inverter AC with Wi-fi Connect  - White,4.7,33990.0,https://rukminim1.flixcart.com/image/312/312/kn0n6a80/air-conditioner-new/u/m/t/cs-ku18wky-1-split-panasonic-inverter-original-imagfsrvjpamu4jk.jpeg?q=70,Panasonic, Copper, Yes,42.0,1670.0,1.0,1
50,"SAMSUNG 1 Ton 3 Star Split Inverter AC  - White, Blue1",4.2,28990.0,https://rukminim1.flixcart.com/image/312/312/kt7jv680/air-conditioner-new/e/m/u/ar12ty3qbbunna-ar12ty3qbbuxna-split-inverter-samsung-original-imag6hwykd3qrmtc.jpeg?q=70,SAMSUNG, Copper, No,54.0,1150.0,1.0,1
51,SAMSUNG 1 Ton 4 Star Split Inverter AC  - White,4.2,29490.0,https://rukminim1.flixcart.com/image/312/312/kl8ccy80/air-conditioner-new/v/r/x/ar12aymzabe-split-samsung-inverter-original-imagye8cxeeuevz3.jpeg?q=70,SAMSUNG, Copper, No,44.0,634.0,1.0,1
52,Voltas 1.5 Ton 3 Star Split AC  - White,4.2,31430.0,https://rukminim1.flixcart.com/image/312/312/jxm5d3k0/air-conditioner-new/q/3/c/183-dzz-r-32-1-5-split-fixed-speed-voltas-original-imafgf6nndarub2k.jpeg?q=70,Voltas, Copper, No,47.0,1450.0,1.0,1
53,LG 1.5 Ton 3 Star Hot and Cold Split Dual Inverter AC  - White,4.3,45790.0,https://rukminim1.flixcart.com/image/312/312/k0bbb0w0/air-conditioner-new/5/5/p/ls-h18vnxd-1-5-split-dual-inverter-lg-original-imafk57gp86j9m6v.jpeg?q=70,LG, Copper, No,31.0,1780.0,1.0,1
54,Voltas 1.2 Ton 5 Star Split Inverter AC  - White,4.2,32990.0,https://rukminim1.flixcart.com/image/312/312/jucz98w0/air-conditioner-new/z/h/q/155v-dzw-r32-1-2-split-voltas-inverter-original-imaffdt8gyxqxfae.jpeg?q=70,Voltas, Copper, No,45.0,1010.0,1.0,1
55,SAMSUNG 1.5 Ton 5 Star Split Inverter AC  - White,4.2,35490.0,https://rukminim1.flixcart.com/image/312/312/kl421e80/air-conditioner-new/o/5/u/ar18ty5qawknna-split-samsung-inverter-original-imagyb23g9erhyzk.jpeg?q=70,SAMSUNG, Copper, No,52.0,1465.0,1.0,1
56,MarQ By Flipkart 1.5 Ton 3 Star Split Inverter AC  - White,4.3,26490.0,https://rukminim1.flixcart.com/image/312/312/kd4uj680/air-conditioner-new/e/b/q/fkac103siainc-mps-1-split-marq-by-flipkart-inverter-original-imafu44dmprmspwa.jpeg?q=70,MarQ, Copper, No,38.0,1458.0,1.0,1
57,CARRIER 1.2 Ton 5 Star Split Inverter AC with PM 2.5 Filter  - White,4.3,34990.0,https://rukminim1.flixcart.com/image/312/312/ka73y4w0/air-conditioner-new/a/y/u/14k-5-star-ester-neo-i-inverter-r32-split-ac-1-2-split-inverter-original-imafrtmdgpzegwmm.jpeg?q=70,CARRIER, Copper, No,31.0,1650.0,1.0,1
58,CARRIER 1.2 Ton 5 Star Split Inverter AC with PM 2.5 Filter  - White,4.3,34990.0,https://rukminim1.flixcart.com/image/312/312/ka73y4w0/air-conditioner-new/a/y/u/14k-5-star-ester-neo-i-inverter-r32-split-ac-1-2-split-inverter-original-imafrtmdgpzegwmm.jpeg?q=70,CARRIER, Copper, No,40.0,1050.0,1.0,1
59,MarQ By Flipkart 1 Ton 3 Star Split Inverter AC  - White,4.3,24490.0,https://rukminim1.flixcart.com/image/312/312/kmgn0cw0/air-conditioner-new/x/b/d/fkac103siaa21-split-marq-by-flipkart-inverter-original-imagfc9cxm5hz8xf.jpeg?q=70,MarQ, Copper, No,44.0,1195.0,1.0,1
60,LG 1 Ton 3 Star Split Dual Inverter AC  - White,4.7,33899.0,https://rukminim1.flixcart.com/image/312/312/kmqn3bk0/air-conditioner-new/7/y/6/ms-q12enxa-split-lg-dual-inverter-original-imagfkfg2ndfcxru.jpeg?q=70,LG, Copper, No,21.0,1050.0,1.0,1
61,IFB 7 Stage Air Treatment 1.5 Ton 3 Star Split Inverter PM 0.3 Filter Silver Series AC  - White,4.3,36900.0,https://rukminim1.flixcart.com/image/312/312/kl6wx3k0/air-conditioner-new/f/w/i/iaci18sa5g3c-split-ifb-inverter-original-imagydaxhqgwh5v8.jpeg?q=70,IFB, Copper, No,35.0,1088.0,7.0,1
